,0
2563,1
2564,2
2565,0
2566,3
2567,1
2568,1
2569,0
2570,3
2571,1
2572,2
2573,0
2574,2
2575,1
2576,0
2577,1
2578,4
2579,1
2580,1
2581,2
2582,1
2583,1
2584,0
2585,1
2586,1
2587,3
2588,2
2589,2
2590,0
2591,1
2592,1
2593,2
2594,0
2595,2
2596,0
2597,0
2598,2
2599,2
2600,0
2601,3
2602,1
2603,6
2604,2
2605,2
2606,3
2607,3
2608,3
2609,2
2610,2
2611,1
2612,1
2613,0
2614,1
2615,0
2616,1
2617,0
2618,2
2619,2
2620,0
2621,0
2622,0
2623,0
2624,0
2625,0
2626,2
2627,2
2628,0
2629,2
2630,0
2631,1
2632,0
2633,3
2634,2
2635,3
2636,1
2637,2
2638,0
2639,5
2640,0
2641,1
2642,0
2643,2
2644,2
2645,2
2646,1
2647,1
2648,0
2649,2
2650,1
2651,1
2652,1
2653,0
2654,2
2655,1
2656,2
2657,3
2658,0
2659,2
2660,0
2661,4
2662,2
2663,3
2664,1
2665,2
2666,1
2667,1
2668,1
2669,0
2670,1
2671,2
2672,1
2673,0
2674,5
2675,6
2676,2
2677,1
2678,0
2679,1
2680,1
2681,2
2682,1
2683,2
2684,0
2685,1
2686,1
2687,1
2688,3
2689,2
2690,4
2691,4
2692,3
2693,2
2694,1
2695,1
2696,0
2697,1
2698,3
2699,0
2700,1
2701,9
2702,0
2703,1
2704,0
2705,0
2706,0
2707,2
2708,0
2709,2
2710,2
2711,1
2712,1
2713,2
2714,0
2715,1
2716,2
2717,1
2718,2
2719,1
2720,1
2721,0
2722,1
2723,0
2724,2
2725,2
2726,2
2727,0
2728,5
2729,0
2730,1
2731,2
2732,1
2733,0
2734,0
2735,1
2736,4
2737,1
2738,0
2739,0
2740,0
2741,1
2742,1
2743,1
2744,0
2745,0
2746,0
2747,0
2748,1
2749,2
2750,0
2751,0
2752,3
2753,1
2754,0
2755,0
2756,1
2757,0
2758,1
2759,1
2760,1
2761,1
2762,1
2763,2
2764,2
2765,4
2766,1
2767,2
2768,0
2769,1
2770,2
2771,2
2772,1
2773,3
2774,4
2775,0
2776,0
2777,3
2778,1
2779,0
2780,0
2781,2
2782,1
2783,1
2784,2
2785,0
2786,2
2787,3
2788,3
2789,3
2790,5
2791,1
2792,0
2793,2
2794,3
2795,3
2796,3
2797,2
2798,0
2799,0
2800,1
2801,3
2802,0
2803,2
2804,3
2805,1
2806,4
2807,2
2808,0
2809,1
2810,0
2811,3
2812,1
2813,1
2814,3
2815,1
2816,2
2817,6
2818,0
2819,0
2820,0
2821,3
2822,2
2823,1
2824,1
2825,0
2826,2
2827,1
2828,3
2829,1
